p 6 212 9 1 2 10000 81
i 3 2 2 0 1 255 510 434
i 3 2 2 0 1 510 1020 510
i 2 3 3 0 1 765 1530 1720
i 4 1 1 0 1 300 600 723
i 2 3 3 0 1 765 1530 1528
i 2 3 3 0 1 765 1530 2333
i 4 1 1 0 1 255 510 255
i 4 1 1 0 1 150 300 472
i 2 3 3 0 1 255 510 255
i 4 1 1 0 1 765 1530 2752
i 4 1 1 0 1 765 1530 2841
i 2 3 3 0 1 255 510 450
i 4 1 1 0 1 150 300 485
i 2 3 3 0 1 765 1530 765
i 1 1 1 0 1 510 1020 510
i 4 1 1 0 1 255 510 733
i 1 1 1 0 1 255 510 955
i 1 1 1 0 1 150 300 150
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 255 510 984
i 3 2 2 0 1 1020 2040 2882
i 4 1 1 0 1 255 510 930
i 2 3 3 0 1 765 1530 2161
i 4 1 1 0 1 765 1530 2962
i 3 2 2 0 1 510 1020 510
i 1 1 1 0 1 1530 3060 4534
i 3 2 2 0 1 150 300 194
i 2 3 3 0 1 765 1530 1144
i 4 1 1 0 1 765 1530 765
i 3 2 2 0 1 1020 2040 1114
i 2 3 3 0 1 255 510 255
i 3 2 2 0 1 255 510 719
i 1 1 1 0 1 255 510 856
i 4 1 1 0 1 255 510 255
i 3 2 2 0 1 765 1530 3046
i 1 1 1 0 1 255 510 255
i 1 1 1 0 1 510 1020 530
i 4 1 1 0 1 255 510 399
i 1 1 1 0 1 510 1020 1021
i 1 1 1 0 1 765 1530 765
i 3 2 2 0 1 255 510 983
i 1 1 1 0 1 255 510 694
i 3 2 2 0 1 150 300 150
i 3 2 2 0 1 765 1530 2363
i 1 1 1 0 1 255 510 504
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 255 510 255
i 1 1 1 0 1 765 1530 2257
i 4 1 1 0 1 510 1020 510
i 1 1 1 0 1 765 1530 3048
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 150 300 150
i 3 2 2 0 1 255 510 255
i 4 1 1 0 1 255 510 255
i 4 1 1 0 1 765 1530 1799
i 4 1 1 0 1 255 510 255
i 1 1 1 0 1 255 510 897
i 4 1 1 0 1 765 1530 1716
i 2 3 3 0 1 255 510 445
i 1 1 1 0 1 765 2040 1392
i 1 1 1 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 2 3 3 0 1 255 510 666
i 2 3 3 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 1 1 1 0 1 510 1020 510
i 3 2 2 0 1 765 1530 765
i 2 3 3 0 1 765 1530 2051
i 2 3 3 0 1 510 1020 1403
i 3 2 2 0 1 765 1530 765
i 3 2 2 0 1 765 1530 765
i 4 1 1 0 1 255 510 915
i 2 3 3 0 1 765 1530 2939
i 4 1 1 0 1 765 1530 765
i 1 1 1 0 1 255 510 599
i 3 2 2 0 1 510 1020 510
i 2 3 3 0 1 765 1530 905
i 2 3 3 0 1 510 1020 510
i 2 3 3 0 1 255 510 915
i 1 1 1 0 1 765 1530 765
i 2 3 3 0 1 255 510 255
i 1 1 1 0 1 765 1530 2538
i 2 3 3 0 1 255 510 768
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 765 1530 765
i 3 2 2 0 1 765 1530 765
i 2 3 3 0 1 255 510 255
i 4 1 1 0 1 510 1020 510
i 4 1 1 0 1 255 510 987
i 2 3 3 0 1 255 510 255
i 2 3 3 0 1 510 1020 510
i 1 1 1 0 1 300 600 300
i 2 3 3 0 1 255 510 255
i 1 1 1 0 1 510 1020 510
i 3 2 2 0 1 255 510 255
i 4 1 1 0 1 510 1020 510
i 4 1 1 0 1 765 1530 1394
i 4 1 1 0 1 765 1530 967
i 2 3 3 0 1 255 510 255
i 1 1 1 0 1 765 1530 2825
i 1 1 1 0 1 255 510 255
i 3 2 2 0 1 765 1530 2922
i 2 3 3 0 1 765 1530 1217
i 3 2 2 0 1 255 510 553
i 3 2 2 0 1 510 1020 1903
i 1 1 1 0 1 1020 2040 1020
i 1 1 1 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 4 1 1 0 1 510 1020 561
i 1 1 1 0 1 255 510 278
i 1 1 1 0 1 765 1530 1263
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 255 510 268
i 1 1 1 0 1 510 1020 510
i 3 2 2 0 1 765 1530 2200
i 1 1 1 0 1 255 510 255
i 2 3 3 0 1 765 1530 2332
i 2 3 3 0 1 255 1020 641
i 4 1 1 0 1 255 510 255
i 3 2 2 0 1 765 1530 1099
i 2 3 3 0 1 255 510 255
i 1 1 1 0 1 255 510 295
i 1 1 1 0 1 765 1530 765
i 2 3 3 0 1 510 1020 1137
i 3 2 2 0 1 765 1530 765
i 4 1 1 0 1 765 1530 2890
i 2 3 3 0 1 765 1530 765
i 4 1 1 0 1 255 510 255
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 510 1020 1595
i 3 2 2 0 1 99 198 99
i 4 1 1 0 1 99 198 272
i 1 1 1 0 1 255 510 971
i 1 1 1 0 1 255 510 255
i 1 1 1 0 1 510 1530 510
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 510 1020 1737
i 4 1 1 0 1 510 1020 1468
i 4 1 1 0 1 765 1530 1381
i 2 3 3 0 1 765 1530 2107
i 1 1 1 0 1 765 1530 765
i 4 1 1 0 1 255 510 255
i 1 1 1 0 1 255 510 518
i 4 1 1 0 1 510 1020 510
i 2 3 3 0 1 255 510 931
i 2 3 3 0 1 255 510 331
i 2 3 3 0 1 150 300 526
i 4 1 1 0 1 150 300 150
i 4 1 1 0 1 510 1020 510
i 1 1 1 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 2 3 3 0 1 765 1530 1335
i 2 3 3 0 1 255 510 538
i 2 3 3 0 1 255 510 712
i 4 1 1 0 1 255 510 255
i 2 3 3 0 1 150 300 150
i 1 1 1 0 1 510 1020 510
i 1 1 1 0 1 765 1530 765
i 2 3 3 0 1 765 1530 765
i 3 2 2 0 1 1530 3060 1530
i 3 2 2 0 1 150 300 150
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 1530 6120 1530
i 4 1 1 0 1 765 1530 765
i 2 3 3 0 1 255 510 255
i 4 1 1 0 1 765 1530 765
i 2 3 3 0 1 255 510 255
i 2 3 3 0 1 255 510 255
i 3 2 2 0 1 765 1530 765
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 255 510 255
i 4 1 1 0 1 765 1530 765
i 3 2 2 0 1 765 1530 765
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 150 300 150
i 2 3 3 0 1 99 198 99
i 2 3 3 0 1 765 1530 765
i 4 1 1 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 1 1 1 0 1 255 510 255
i 4 1 1 0 1 1020 2040 1020
i 2 3 3 0 1 255 510 255
i 2 3 3 0 1 255 510 255
i 1 1 1 0 1 255 510 255
i 1 1 1 0 1 510 1020 510
i 2 3 3 0 1 765 1530 765
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 3 2 2 0 1 255 510 255
i 4 1 1 0 1 765 1530 765
i 2 3 3 0 1 300 600 300
i 1 1 1 0 1 765 1530 765
