p 6 25 1 1 2 1000 16
i 2 2 2 1 0 20 40 20
i 2 1 1 0 1 20 40 22
i 1 1 1 0 1 10 20 16
i 2 1 1 0 0 10 20 10
i 3 2 2 1 0 20 40 20
i 3 1 1 0 1 10 20 10
i 2 2 2 0 1 10 20 15
i 3 1 1 0 0 20 40 20
i 1 2 2 0 1 10 20 12
i 3 2 2 1 0 30 60 35
i 3 1 1 0 0 20 40 20
i 4 1 1 0 0 10 20 10
i 2 1 1 0 1 40 80 40
i 0 2 2 0 1 30 60 42
i 1 1 1 0 0 10 20 10
i 4 1 1 0 0 20 40 35
i 3 1 1 0 1 10 20 15
i 2 1 1 0 0 20 40 34
i 3 2 2 1 0 10 20 10
i 1 1 1 0 0 40 80 60
i 0 1 1 0 0 10 20 13
i 3 1 1 0 0 10 20 10
i 4 1 1 0 0 20 40 26
i 1 1 1 0 0 10 20 19
i 4 1 1 0 1 40 80 79
k 96 1
