p 6 25 1 1 2 1000 22
i 0 1 1 0 0 20 40 20
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 30 60 60
i 4 1 1 0 0 40 80 80
i 4 1 1 0 0 40 80 80
i 4 1 1 0 0 10 20 20
i 4 1 1 0 0 10 20 20
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 10 20 20
i 0 2 2 1 0 30 60 52
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 40 80 80
i 4 1 1 0 0 10 20 20
i 4 1 1 0 0 10 20 20
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 10 20 20
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 20 40 40
i 4 1 1 0 0 30 60 60
i 4 1 1 0 0 40 80 80
i 4 1 1 0 0 10 20 20
i 3 1 1 0 0 20 40 20
k 96 1
