p 6 50 1 1 2 1000 36
i 1 1 1 0 1 30 60 50
i 2 1 1 0 0 30 60 30
i 1 2 2 1 0 20 40 20
i 3 2 2 0 1 30 60 36
i 2 2 2 1 0 20 40 20
i 3 1 1 0 0 20 40 38
i 2 2 2 1 0 30 60 30
i 3 1 1 0 0 20 40 30
i 3 1 1 0 0 20 40 35
i 1 2 2 1 0 10 20 11
i 3 1 1 0 0 40 80 43
i 1 1 1 0 1 20 40 26
i 1 1 1 0 0 10 20 10
i 4 1 1 0 0 20 40 20
i 4 1 1 0 0 10 20 12
i 4 1 1 0 1 10 20 20
i 1 1 1 0 1 10 20 17
i 3 1 1 0 1 10 20 10
i 2 2 2 1 0 30 60 45
i 2 1 1 0 0 20 40 20
i 1 2 2 1 0 40 80 62
i 4 1 1 0 0 40 80 40
i 0 1 1 0 0 20 40 20
i 3 2 2 1 0 10 20 12
i 1 1 1 0 0 20 40 37
i 4 1 1 0 0 10 20 10
i 2 1 1 0 0 10 20 10
i 1 2 2 0 1 10 20 18
i 3 1 1 0 1 10 20 14
i 2 2 2 1 0 20 40 25
i 3 2 2 0 1 10 20 17
i 4 1 1 0 1 10 20 10
i 0 1 1 0 0 20 40 28
i 0 1 1 0 0 40 80 57
i 2 1 1 0 0 10 20 14
i 3 1 1 0 0 10 20 20
i 2 2 2 0 1 40 80 40
i 1 1 1 0 1 10 20 10
i 2 2 2 1 0 20 40 20
i 0 1 1 0 1 10 20 20
i 2 2 2 1 0 10 20 10
i 3 1 1 0 0 20 40 30
i 1 1 1 0 0 20 40 35
i 2 1 1 0 0 30 60 51
i 2 2 2 1 0 10 20 10
i 3 1 1 0 1 10 20 10
i 0 1 1 0 1 30 60 50
i 3 1 1 0 1 20 40 21
i 4 1 5 0 0 30 60 55
i 4 1 1 0 0 10 20 16
k 96 1
